Date,Price,Open,High,Low,Volume,Chg%
"Feb 27, 2020",71.655,71.645,71.704,71.545,5.35K,0.10%
"Feb 26, 2020",71.58,71.833,71.873,71.532,5.63K,-0.33%
"Feb 25, 2020",71.82,71.87,71.92,71.611,4.83K,-0.16%
"Feb 24, 2020",71.935,71.915,72.015,71.775,4.46K,0.08%
"Feb 21, 2020",71.88,71.665,72.056,71.665,0.16K,0.28%
"Feb 20, 2020",71.68,71.735,71.82,71.53,4.76K,0.11%
"Feb 19, 2020",71.6,71.573,71.6,71.452,0.29K,0.02%
"Feb 18, 2020",71.585,71.415,71.611,71.375,4.96K,0.34%
"Feb 17, 2020",71.34,71.43,71.507,71.26,5.36K,-0.26%
"Feb 14, 2020",71.528,71.294,71.597,71.272,6.80K,0.28%
"Feb 13, 2020",71.33,71.36,71.511,71.254,4.53K,0.03%
"Feb 12, 2020",71.306,71.212,71.391,71.212,5.72K,0.03%
"Feb 11, 2020",71.285,71.235,71.33,71.179,6.17K,-0.01%
"Feb 10, 2020",71.29,71.4,71.457,71.285,8.31K,-0.31%
"Feb 07, 2020",71.515,71.26,71.538,71.213,6.21K,0.41%
"Feb 06, 2020",71.225,71.181,71.3,71.106,6.37K,0.05%
"Feb 05, 2020",71.19,71.11,71.3,71.11,4.24K,0.11%
"Feb 04, 2020",71.115,71.215,71.297,71.09,6.65K,-0.29%
"Feb 03, 2020",71.324,71.523,71.653,71.268,7.48K,-0.32%
"Jan 31, 2020",71.555,71.575,71.578,71.294,8.25K,0.01%
"Jan 30, 2020",71.55,71.42,71.66,71.39,3.41K,0.34%
"Jan 29, 2020",71.31,71.24,71.411,71.165,7.10K,0.15%
"Jan 28, 2020",71.2,71.432,71.432,71.2,6.62K,-0.35%
"Jan 27, 2020",71.45,71.475,71.52,71.373,5.00K,0.17%
"Jan 24, 2020",71.33,71.34,71.371,71.22,3.39K,-0.10%
"Jan 23, 2020",71.4,71.19,71.465,71.169,6.19K,0.45%
"Jan 22, 2020",71.08,71.18,71.265,71.076,5.63K,-0.13%
"Jan 21, 2020",71.17,71.19,71.25,71.121,3.97K,0.18%
"Jan 20, 2020",71.04,71.07,71.16,71.01,5.07K,-0.05%
"Jan 17, 2020",71.079,70.953,71.099,70.933,6.69K,0.14%
"Jan 16, 2020",70.978,70.775,71.007,70.775,6.30K,0.36%
"Jan 15, 2020",70.72,71,71.023,70.682,5.32K,-0.18%
"Jan 14, 2020",70.85,70.72,70.975,70.72,6.81K,0.20%
"Jan 13, 2020",70.71,70.805,70.945,70.71,6.16K,-0.35%
"Jan 10, 2020",70.96,71.24,71.26,70.848,7.39K,-0.35%
"Jan 09, 2020",71.21,71.51,71.544,71.134,7.00K,-0.42%
"Jan 08, 2020",71.51,71.954,72.114,71.466,7.40K,-0.47%
"Jan 07, 2020",71.845,71.765,71.923,71.67,6.69K,-0.03%
"Jan 06, 2020",71.867,72.011,72.123,71.834,7.44K,0.14%
"Jan 03, 2020",71.77,71.61,71.844,71.52,7.49K,0.59%
"Jan 02, 2020",71.35,71.235,71.408,71.235,4.63K,0.17%
"Jan 01, 2020",71.228,71.365,71.377,71.225,1.16K,-0.18%
